transaction_id,customer_id,merchant_id,timestamp,hour,day,weekday,is_weekend,is_night,customer_segment,avg_spend_profile,home_lat,home_lon,past_fraud_history,credit_score,account_age_days,merchant_category,merchant_risk_score,merchant_lat,merchant_lon,transaction_amount,txn_lat,txn_lon,distance_from_home_km,is_foreign,high_risk_country,device_type,channel,is_new_device,vpn_detected,tor_detected,device_id,transaction_velocity_1h,transaction_velocity_24h,transaction_velocity_7d,seconds_since_last_txn,avg_amount_30d,amount_deviation_ratio,merchant_ring_id,shared_device_count,customer_merchant_txn_count,label,fraud_type,financial_loss
TXN00150584,2529,1550,33:22.1,14,90,0,0,0,regular,210.9342958,30.85210193,36.87149078,0,820,1834,food,0.118403058,25.45410426,30.77163533,140.44,32.79875262,34.66312328,301.62,1,0,unknown,pos,0,0,0,069555d322b7,2,1,16,2186625.594,250.0101406,0.5595,-1,1,2,0,legit,0.0
TXN00022527,2886,1876,37:46.4,12,14,1,0,0,premium,341.4125465,28.98955015,26.35885919,0,418,1364,travel,0.27006579,20.0466946,27.92830968,187.25,31.83511169,26.2013058,316.23,1,0,mobile_ios,atm,1,0,0,6bb300cb0ddc,0,9,25,156601.2681,344.5374049,0.5419,-1,0,1,0,legit,0.0
TXN00164180,5646,976,48:00.2,17,98,1,0,0,regular,611.9005239,23.21561969,26.89372809,0,544,2117,travel,0.244744576,33.55335585,33.57576682,375.67,24.66239972,24.67298895,277.69,0,1,mobile_ios,pos,0,0,0,bcda78cbc2f0,2,5,12,673871.1463,638.3729063,0.5876,-1,0,3,0,legit,0.0
TXN00198579,1951,1137,42:29.1,3,119,1,0,1,regular,590.1132728,24.26666695,32.2963251,0,546,1885,retail,0.147211912,22.42627383,29.83724377,546.44,23.87008474,28.86127881,350.38,1,0,mobile_android,pos,0,0,0,780f9faf57c9,3,4,14,1822554.437,519.1632412,1.0505,-1,0,1,0,legit,0.0
TXN00072310,2104,1317,44:35.2,3,44,3,0,1,dormant,187.6111876,23.744038,27.27792542,0,576,1298,retail,0.193475626,29.29568113,32.68950766,116.12,21.26712735,29.88166967,381.55,1,0,mobile_ios,pos,0,0,0,b566156e8807,1,4,21,292013.6179,214.8219758,0.538,-1,0,4,0,legit,0.0
TXN00131078,12905,1475,34:16.8,0,79,3,0,1,new,437.6729024,28.62621454,35.61494172,0,611,875,grocery,0.147472419,20.96634387,29.09831247,436.81,30.57206794,37.96100065,314.48,1,0,mobile_ios,online,0,0,0,2cd797fc1b4a,1,3,19,68469.02654,447.4745311,0.974,-1,2,4,0,legit,0.0
TXN00186888,1075,711,08:47.3,5,112,1,0,1,new,194.3530674,26.80035958,25.60998729,0,652,125,retail,0.142472396,25.44555699,35.20605859,326.6,27.82989798,25.24735779,119.79,0,0,tablet_android,pos,0,0,0,85b7a5f51622,5,7,18,1780319.285,219.8489372,1.4788,-1,0,4,0,legit,0.0
TXN00071889,8988,1103,48:34.2,21,43,2,0,0,new,556.3099949,27.20525138,30.0931073,0,705,3915,electronics,0.297065168,31.48770221,31.27914429,514.13,27.3535428,29.98021342,19.88,0,0,mobile_ios,atm,0,0,0,661d516d87ae,1,11,16,22643.50138,595.5807314,0.8618,-1,0,0,0,legit,0.0
TXN00051626,3872,671,03:26.6,20,31,4,0,0,new,344.0272113,28.1020132,32.99932142,0,625,2031,crypto,0.558921923,20.7924442,33.08085774,597.44,27.00409188,33.15603988,122.83,0,0,mobile_ios,online,0,0,0,dc184aacc920,1,6,27,888390.0919,280.8194412,2.1199,-1,0,0,0,legit,0.0
TXN00144316,9061,856,33:36.7,22,86,3,0,0,regular,120.8808992,28.84149897,34.87579601,0,544,2085,retail,0.110995152,31.56763381,31.7239456,99.4,30.3855923,37.09097404,275.26,0,0,mobile_ios,pos,0,0,0,ae570d4386e2,1,3,17,420514.8567,117.1079828,0.8416,-1,0,3,0,legit,0.0
